loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,occupancy_type,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,116500,360,not_neg,not_int,not_lpsm,118000,pr,1740,EXP,758,CIB,25-34,98.72881356,south,direct,1,45
cf,Male,nopre,type2,p1,l1,nopc,b/c,206500,360,not_neg,not_int,lpsm,418000,pr,4980,EQUI,552,EXP,55-64,75.2016129,North,direct,1,39
cf,Male,pre,type1,p1,l1,nopc,nob/c,406500,360,neg_amm,not_int,not_lpsm,508000,pr,9480,EXP,834,CIB,35-44,80.01968504,south,direct,0,46
cf,Male,nopre,type1,p4,l1,nopc,nob/c,456500,360,not_neg,not_int,not_lpsm,658000,pr,11880,EXP,587,CIB,45-54,69.3768997,North,direct,0,42
cf,Joint,pre,type1,p1,l1,nopc,nob/c,696500,360,not_neg,not_int,not_lpsm,758000,pr,10440,CRIF,602,EXP,25-34,91.88654354,North,direct,0,39
cf,Joint,pre,type1,p1,l1,nopc,nob/c,706500,360,not_neg,not_int,not_lpsm,1008000,pr,10080,EXP,864,EXP,35-44,70.08928571,North,direct,0,40
cf,Joint,pre,type1,p3,l1,nopc,nob/c,346500,360,not_neg,not_int,not_lpsm,438000,pr,5040,EXP,860,EXP,55-64,79.10958904,North,direct,0,44
cf,Female,nopre,type1,p4,l1,nopc,nob/c,266500,360,not_neg,not_int,not_lpsm,308000,pr,3780,CIB,863,CIB,55-64,86.52597403,North,direct,0,42
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,376500,360,not_neg,not_int,not_lpsm,478000,pr,5580,CIB,580,EXP,55-64,78.76569038,central,direct,0,44
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,436500,360,not_neg,not_int,not_lpsm,688000,pr,6720,CIB,788,EXP,55-64,63.44476744,south,direct,0,30
cf,Male,nopre,type2,p3,l2,nopc,b/c,136500,300,neg_amm,not_int,not_lpsm,168000,pr,4020,EXP,723,CIB,55-64,81.25,North,direct,1,44
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,466500,360,not_neg,not_int,not_lpsm,708000,pr,9540,EXP,501,EXP,35-44,65.88983051,south,direct,0,36
cf,Joint,nopre,type2,p3,l1,nopc,b/c,206500,360,not_neg,not_int,not_lpsm,258000,pr,3780,CRIF,884,EXP,65-74,80.03875969,North,direct,1,51
cf,Joint,nopre,type2,p4,l1,nopc,b/c,436500,360,not_neg,not_int,not_lpsm,508000,pr,5700,CRIF,520,EXP,55-64,85.92519685,North,direct,0,39
cf,Female,nopre,type1,p4,l1,nopc,nob/c,226500,360,not_neg,not_int,not_lpsm,298000,pr,7860,CIB,773,CIB,35-44,76.00671141,North,direct,0,39
cf,Male,nopre,type1,p4,l1,nopc,nob/c,76500,360,not_neg,not_int,not_lpsm,138000,pr,2220,EXP,685,CIB,45-54,55.43478261,North,direct,1,20
cf,Joint,nopre,type2,p1,l1,nopc,b/c,356500,360,neg_amm,not_int,not_lpsm,368000,pr,5340,CRIF,846,EXP,25-34,96.875,North,direct,1,44
cf,Male,pre,type1,p3,l1,nopc,nob/c,156500,360,neg_amm,not_int,not_lpsm,168000,pr,3120,CRIF,534,CIB,65-74,93.1547619,North,direct,1,44
cf,Female,nopre,type1,p1,l1,nopc,nob/c,406500,360,not_neg,not_int,not_lpsm,598000,pr,5340,CIB,629,CIB,45-54,67.97658863,North,direct,0,44
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,586500,360,not_neg,not_int,not_lpsm,748000,sr,12540,CIB,688,EXP,55-64,78.40909091,south,direct,0,31
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,306500,180,not_neg,not_int,not_lpsm,558000,pr,16860,EXP,668,EXP,65-74,54.92831541,North,direct,0,6
cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,360,not_neg,not_int,not_lpsm,198000,pr,2100,EXP,758,CIB,>74,68.93939394,North,direct,0,36
cf,Male,pre,type1,p3,l1,nopc,nob/c,306500,360,not_neg,not_int,not_lpsm,448000,pr,2880,EXP,692,CIB,55-64,68.41517857,south,direct,1,44
cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,360,not_neg,not_int,not_lpsm,508000,pr,2760,CIB,620,CIB,65-74,62.30314961,south,direct,0,44
cf,Male,nopre,type1,p3,l2,nopc,nob/c,336500,360,not_neg,not_int,not_lpsm,428000,pr,4980,CIB,846,CIB,35-44,78.62149533,south,direct,0,35
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,426500,360,not_neg,not_int,not_lpsm,568000,pr,8940,EXP,533,EXP,45-54,75.08802817,North,direct,0,34
